2025-02-04 01:14:16,076 - MainThread - {"mqtt": {"ip": "localhost", "port": 1883, "topic_filter": "/yida/+/+"}, "devices_conf_csv": "device_conf.csv"}
2025-02-04 01:14:16,076 - MainThread - The receiver client has been created. The client id is AI_Subscribe_afccaac0-222e-4ca9-ade1-598c79c764e0
2025-02-04 01:14:16,076 - MainThread - The receiver client has connected to ip localhost port 1883
2025-02-04 01:14:16,077 - MainThread - The receiver thread is bind to thread id 126507978077760 name mqtt_clinet_receiver
2025-02-04 01:14:16,077 - MainThread - The receiver thread is added to thread list
The thread_list has:
mqtt_clinet_receiver
2025-02-04 01:14:16,077 - MainThread - The length of message queue is 0
2025-02-04 01:14:16,078 - MainThread - The schedule thread is created id 126507969685056 name schedule_thread
2025-02-04 01:14:16,078 - MainThread - The schedule thread is added to thread list
The thread_list has:
mqtt_clinet_receiver
schedule_thread
2025-02-04 01:14:16,080 - MainThread - The write_influxdb_thread thread is created id 126507961292352 name write_influxdb_thread
2025-02-04 01:14:16,080 - MainThread - The write_influxdb_thread thread is added to thread list
The thread_list has:
mqtt_clinet_receiver
schedule_thread
write_influxdb_thread
2025-02-04 01:14:16,081 - write_influxdb_thread - Successfully connected to the Influxdb! localhost
2025-02-04 01:14:18,365 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 1
2025-02-04 01:14:18,366 - schedule_thread - Get a message out of the queue, the length of it is 0
2025-02-04 01:14:18,367 - schedule_thread - The mac 30:30:f9:73:4c:34 has initialized a queue to store the input. The len of the queue 126507978570576 is 0
2025-02-04 01:14:18,367 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 1
2025-02-04 01:14:18,368 - schedule_thread - The thread to process mac 30:30:f9:73:4c:34 is created. The thread id is 126507952899648 name is 30:30:f9:73:4c:34
2025-02-04 01:14:18,368 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 2
2025-02-04 01:14:18,368 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 3
2025-02-04 01:14:18,368 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 4
2025-02-04 01:14:18,368 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 5
2025-02-04 01:14:18,369 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 6
2025-02-04 01:14:18,369 - schedule_thread - Get a message out of the queue, the length of it is 5
2025-02-04 01:14:18,369 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 6
2025-02-04 01:14:18,370 - schedule_thread - Get a message out of the queue, the length of it is 5
2025-02-04 01:14:18,370 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 6
2025-02-04 01:14:18,370 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 7
2025-02-04 01:14:18,370 - schedule_thread - Get a message out of the queue, the length of it is 6
2025-02-04 01:14:18,370 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 7
2025-02-04 01:14:18,371 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 8
2025-02-04 01:14:18,371 - schedule_thread - Get a message out of the queue, the length of it is 7
2025-02-04 01:14:18,371 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 8
2025-02-04 01:14:18,371 - schedule_thread - Get a message out of the queue, the length of it is 7
2025-02-04 01:14:18,372 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 8
2025-02-04 01:14:18,372 - schedule_thread - Get a message out of the queue, the length of it is 7
2025-02-04 01:14:18,372 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 8
2025-02-04 01:14:18,372 - schedule_thread - Get a message out of the queue, the length of it is 7
2025-02-04 01:14:18,372 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 8
2025-02-04 01:14:18,373 - schedule_thread - Get a message out of the queue, the length of it is 7
2025-02-04 01:14:18,373 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 8
2025-02-04 01:14:18,373 - schedule_thread - Get a message out of the queue, the length of it is 7
2025-02-04 01:14:18,373 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 8
2025-02-04 01:14:18,374 - schedule_thread - Get a message out of the queue, the length of it is 7
2025-02-04 01:14:18,374 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 8
2025-02-04 01:14:18,374 - schedule_thread - Get a message out of the queue, the length of it is 7
2025-02-04 01:14:18,374 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 8
2025-02-04 01:14:18,375 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 9
2025-02-04 01:14:18,375 - schedule_thread - Get a message out of the queue, the length of it is 8
2025-02-04 01:14:18,375 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 9
2025-02-04 01:14:18,375 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 10
2025-02-04 01:14:18,375 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 11
2025-02-04 01:14:18,375 - schedule_thread - Get a message out of the queue, the length of it is 10
2025-02-04 01:14:18,376 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 11
2025-02-04 01:14:18,376 - schedule_thread - Get a message out of the queue, the length of it is 10
2025-02-04 01:14:18,376 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 11
2025-02-04 01:14:18,376 - schedule_thread - Get a message out of the queue, the length of it is 10
2025-02-04 01:14:18,376 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 11
2025-02-04 01:14:18,377 - schedule_thread - Get a message out of the queue, the length of it is 10
2025-02-04 01:14:18,377 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 11
2025-02-04 01:14:18,377 - schedule_thread - Get a message out of the queue, the length of it is 10
2025-02-04 01:14:18,378 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 11
2025-02-04 01:14:18,378 - schedule_thread - Get a message out of the queue, the length of it is 10
2025-02-04 01:14:18,378 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 11
2025-02-04 01:14:18,378 - schedule_thread - Get a message out of the queue, the length of it is 10
2025-02-04 01:14:18,379 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 11
2025-02-04 01:14:18,379 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 12
2025-02-04 01:14:18,379 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 13
2025-02-04 01:14:18,379 - schedule_thread - Get a message out of the queue, the length of it is 12
2025-02-04 01:14:18,379 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 13
2025-02-04 01:14:18,380 - schedule_thread - Get a message out of the queue, the length of it is 12
